"산업분류별","성별","근속년수별",2020,2021,2022,2023,2024
"산업분류별","성별","근속년수별",월임금총액 (천원),월임금총액 (천원),월임금총액 (천원),월임금총액 (천원),월임금총액 (천원)
"전체","전체","전근속",3757,3858,4091,4266,4371
"전체","전체","1년미만",2446,2561,2704,2819,2861
"전체","전체","1-3년미만",2924,2980,3142,3432,3412
"전체","전체","3-5년미만",3324,3347,3547,3792,3868
"전체","전체","5-10년미만",3942,3975,4146,4400,4497
"전체","전체","10년이상",5767,5824,6119,6545,6653
"전체","남","전근속",4316,4442,4726,4931,5066
"전체","남","1년미만",2788,2937,3104,3254,3309
"전체","남","1-3년미만",3315,3387,3606,3926,3909
"전체","남","3-5년미만",3735,3783,4019,4302,4418
"전체","남","5-10년미만",4422,4485,4680,4964,5091
"전체","남","10년이상",6184,6280,6620,7087,7262
"전체","여","전근속",2863,2934,3129,3272,3357
"전체","여","1년미만",2053,2118,2257,2324,2364
"전체","여","1-3년미만",2423,2473,2587,2827,2817
"전체","여","3-5년미만",2723,2737,2914,3097,3141
"전체","여","5-10년미만",3141,3147,3321,3522,3587
"전체","여","10년이상",4580,4584,4850,5203,5257
"A.농업, 임업 및 어업(01~03)","전체","전근속",3426,3567,3624,3539,3685
"A.농업, 임업 및 어업(01~03)","전체","1년미만",1779,1917,2066,2206,2434
"A.농업, 임업 및 어업(01~03)","전체","1-3년미만",2564,2608,2711,2843,2861
"A.농업, 임업 및 어업(01~03)","전체","3-5년미만",2897,2941,3020,3292,3324
"A.농업, 임업 및 어업(01~03)","전체","5-10년미만",3223,3387,3373,3545,3737
"A.농업, 임업 및 어업(01~03)","전체","10년이상",5264,5268,5278,5475,5535
"A.농업, 임업 및 어업(01~03)","남","전근속",3738,3853,3930,3783,3922
"A.농업, 임업 및 어업(01~03)","남","1년미만",1990,2047,2186,2371,2569
"A.농업, 임업 및 어업(01~03)","남","1-3년미만",2711,2746,2860,3017,3038
